"M=MODULE"	"module_enabled"	"module_name"	""	""	""	""	""	""	""	""
"S=SUBJECT"	"subject_enabled"	"subject_name"	"subject_description"	""	""	""	""	""	""	""
"Q=QUESTION"	"question_enabled"	"question_description"	"question_explanation"	"question_type"	"question_difficulty"	"question_position"	"question_timer"	"question_fullscreen"	"question_inline_answers"	"question_auto_next"
"A=ANSWER"	"answer_enabled"	"answer_description"	"answer_explanation"	"answer_isright"	"answer_position"	"answer_keyboard_key"	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
"M"	"1"	"FINANCE"	""	""	""	""	""	""	""	""
"S"	"1"	"Pelaksana"	""	""	""	""	""	""	""	""
"Q"	"1"	"Apa tanggung jawab utama pelaksana di departemen keuangan (finance)?&nbsp;"	""	"S"	"1"	"1"	"0"	"0"	"0"	"0"
"A"	"1"	"Mengelola keuangan perusahaan secara akurat"	""	"1"	"1"	""	""	""	""	""
"A"	"1"	"Membuat strategi pemasaran produk"	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"Meningkatkan follower media sosial"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"Mendesain materi promosi"	""	"0"	"4"	""	""	""	""	""
"A"	"1"	"Mengatur jadwal pelatihan karyawan"	""	"0"	"5"	""	""	""	""	""
"Q"	"1"	"Apa yang dimaksud dengan laporan arus kas (cash flow statement)?&nbsp;"	""	"S"	"1"	"2"	"0"	"0"	"0"	"0"
"A"	"1"	"Dokumen penilaian performa karyawan"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"Laporan transaksi kas masuk dan keluar perusahaan"	""	"1"	"2"	""	""	""	""	""
"A"	"1"	"Surat pengajuan cuti tahunan"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"Daftar riwayat jabatan karyawan"	""	"0"	"4"	""	""	""	""	""
"A"	"1"	"Rekap absensi harian"	""	"0"	"5"	""	""	""	""	""
"Q"	"1"	"Manakah dari berikut ini yang termasuk dokumen penting dalam proses pencatatan keuangan?&nbsp;"	""	"S"	"1"	"3"	"0"	"0"	"0"	"0"
"A"	"1"	"Surat undangan rapat"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"Bukti transaksi atau kwitansi"	""	"1"	"2"	""	""	""	""	""
"A"	"1"	"Foto kegiatan perusahaan"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"Daftar hadir pelatihan"	""	"0"	"4"	""	""	""	""	""
"A"	"1"	"Poster internal komunikasi"	""	"0"	"5"	""	""	""	""	""
"Q"	"1"	"Jika terdapat selisih dalam laporan keuangan harian, langkah pertama yang harus dilakukan adalah:&nbsp;"	""	"S"	"1"	"4"	"0"	"0"	"0"	"0"
"A"	"1"	"Menghapus semua catatan lama"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"Melaporkannya ke departemen HR"	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"Melakukan pengecekan ulang terhadap bukti transaksi"	""	"1"	"3"	""	""	""	""	""
"A"	"1"	"Menutup pembukuan lebih awal"	""	"0"	"4"	""	""	""	""	""
"A"	"1"	"Mengabaikan selisih jika nominal kecil"	""	"0"	"5"	""	""	""	""	""
"Q"	"1"	"Apa tujuan dari membuat anggaran (budgeting) dalam perusahaan?&nbsp;"	""	"S"	"1"	"5"	"0"	"0"	"0"	"0"
"A"	"1"	"Meningkatkan jumlah promosi"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"Mengatur pengeluaran agar sesuai rencana dan tujuan perusahaan"	""	"1"	"2"	""	""	""	""	""
