"M=MODULE"	"module_enabled"	"module_name"	""	""	""	""	""	""	""	""
"S=SUBJECT"	"subject_enabled"	"subject_name"	"subject_description"	""	""	""	""	""	""	""
"Q=QUESTION"	"question_enabled"	"question_description"	"question_explanation"	"question_type"	"question_difficulty"	"question_position"	"question_timer"	"question_fullscreen"	"question_inline_answers"	"question_auto_next"
"A=ANSWER"	"answer_enabled"	"answer_description"	"answer_explanation"	"answer_isright"	"answer_position"	"answer_keyboard_key"	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
"M"	"1"	"PSIKOLOGI"	""	""	""	""	""	""	""	""
"S"	"1"	"TES PSIKOLOGI"	""	""	""	""	""	""	""	""
"Q"	"1"	"API : BAKAR = AIR : ...&nbsp;"	""	"S"	"1"	"1"	"0"	"0"	"0"	"0"
"A"	"1"	"Banjir"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"Minum"	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"Basah"	""	"1"	"3"	""	""	""	""	""
"A"	"1"	"Hujan"	""	"0"	"4"	""	""	""	""	""
"A"	"1"	"Laut"	""	"0"	"5"	""	""	""	""	""
"Q"	"1"	"GELAP : LAMPU memiliki hubungan yang sama dengan...&nbsp;"	""	"S"	"1"	"2"	"0"	"0"	"0"	"0"
"A"	"1"	"Haus : Dahaga"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"Sakit : Obat"	""	"1"	"2"	""	""	""	""	""
"A"	"1"	"Kenyang : Makan"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"Mengantuk : Tidur"	""	"0"	"4"	""	""	""	""	""
"A"	"1"	"Pagi : Matahari"	""	"0"	"5"	""	""	""	""	""
"Q"	"1"	"Kata EVOKASI memiliki persamaan kata dengan...&nbsp;"	""	"S"	"1"	"3"	"0"	"0"	"0"	"0"
"A"	"1"	"Penilaian"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"Penggugah Rasa"	""	"1"	"2"	""	""	""	""	""
"A"	"1"	"Perubahan"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"Penyatuan"	""	"0"	"4"	""	""	""	""	""
"A"	"1"	"Pencegahan"	""	"0"	"5"	""	""	""	""	""
"Q"	"1"	"Lanjutkan deret angka berikut: 2, 4, 8, 10, 20, 22, ...&nbsp;"	""	"S"	"1"	"4"	"0"	"0"	"0"	"0"
"A"	"1"	"24"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"30"	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"44"	""	"1"	"3"	""	""	""	""	""
"A"	"1"	"46"	""	"0"	"4"	""	""	""	""	""
"A"	"1"	"48"	""	"0"	"5"	""	""	""	""	""
"Q"	"1"	"Lanjutkan deret berikut: A, 3, C, 6, E, 9, ... , ...&nbsp;"	""	"S"	"1"	"5"	"0"	"0"	"0"	"0"
"A"	"1"	"F, 12"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"G, 11"	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"F, 11"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"G, 12"	""	"1"	"4"	""	""	""	""	""
"A"	"1"	"H, 12"	""	"0"	"5"	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
