"M=MODULE"	"module_enabled"	"module_name"	""	""	""	""	""	""	""	""
"S=SUBJECT"	"subject_enabled"	"subject_name"	"subject_description"	""	""	""	""	""	""	""
"Q=QUESTION"	"question_enabled"	"question_description"	"question_explanation"	"question_type"	"question_difficulty"	"question_position"	"question_timer"	"question_fullscreen"	"question_inline_answers"	"question_auto_next"
"A=ANSWER"	"answer_enabled"	"answer_description"	"answer_explanation"	"answer_isright"	"answer_position"	"answer_keyboard_key"	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
"M"	"1"	"HUMAN CAPITAL"	""	""	""	""	""	""	""	""
"S"	"1"	"Pelaksana"	""	""	""	""	""	""	""	""
"Q"	"1"	"Apa fungsi utama dari pelatihan dan pengembangan karyawan di perusahaan?&nbsp;"	""	"S"	"1"	"1"	"0"	"0"	"0"	"0"
"A"	"1"	"Meningkatkan kemampuan dan kinerja karyawan"	""	"1"	"1"	""	""	""	""	""
"A"	"1"	"Mengisi waktu luang karyawan"	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"Menyediakan hiburan setelah jam kerja"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"Mengurangi jumlah karyawan yang aktif bekerja"	""	"0"	"4"	""	""	""	""	""
"A"	"1"	"Meningkatkan jumlah absensi karyawan"	""	"0"	"5"	""	""	""	""	""
"Q"	"1"	"Apa tindakan paling tepat jika seorang karyawan datang terlambat secara berulang-ulang?&nbsp;"	""	"S"	"1"	"2"	"0"	"0"	"0"	"0"
"A"	"1"	"Langsung memberikan surat pemecatan"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"Membuat laporan keuangan perusahaan"	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"Melakukan pembinaan sesuai prosedur yang berlaku"	""	"1"	"3"	""	""	""	""	""
"A"	"1"	"Memberikan teguran tidak resmi lewat teman kerja"	""	"0"	"4"	""	""	""	""	""
"A"	"1"	"Membiarkan karena bukan tanggung jawab departemen HC"	""	"0"	"5"	""	""	""	""	""
"Q"	"1"	"Saat melakukan administrasi kepegawaian, apa yang harus dijaga oleh seorang pelaksana HC?&nbsp;"	""	"S"	"1"	"3"	"0"	"0"	"0"	"0"
"A"	"1"	"Jumlah like di media sosial perusahaan"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"Kecepatan menjawab email pribadi"	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"Kerapian data dan ketepatan input dokumen"	""	"1"	"3"	""	""	""	""	""
"A"	"1"	"Banyaknya foto kegiatan diunggah"	""	"0"	"4"	""	""	""	""	""
"A"	"1"	"Interaksi antar tim marketing"	""	"0"	"5"	""	""	""	""	""
"Q"	"1"	"Apa tujuan dari evaluasi kinerja berkala terhadap karyawan?&nbsp;"	""	"S"	"1"	"4"	"0"	"0"	"0"	"0"
"A"	"1"	"Menentukan siapa yang akan keluar dari perusahaan"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"Menciptakan persaingan tidak sehat antar karyawan"	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"Mengetahui pencapaian dan kebutuhan pengembangan karyawan"	""	"1"	"3"	""	""	""	""	""
"A"	"1"	"Mengisi kekosongan waktu HR"	""	"0"	"4"	""	""	""	""	""
"A"	"1"	"Memberi beban kerja tambahan secara acak"	""	"0"	"5"	""	""	""	""	""
"Q"	"1"	"Dalam situasi tekanan kerja tinggi, sikap terbaik yang harus dimiliki seorang pelaksana HC adalah:&nbsp;"	""	"S"	"1"	"5"	"0"	"0"	"0"	"0"
