"M=MODULE"	"module_enabled"	"module_name"	""	""	""	""	""	""	""	""
"S=SUBJECT"	"subject_enabled"	"subject_name"	"subject_description"	""	""	""	""	""	""	""
"Q=QUESTION"	"question_enabled"	"question_description"	"question_explanation"	"question_type"	"question_difficulty"	"question_position"	"question_timer"	"question_fullscreen"	"question_inline_answers"	"question_auto_next"
"A=ANSWER"	"answer_enabled"	"answer_description"	"answer_explanation"	"answer_isright"	"answer_position"	"answer_keyboard_key"	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
"M"	"1"	"KRAKATAU"	""	""	""	""	""	""	""	""
"S"	"1"	"LINGKUNGAN KERJA"	""	""	""	""	""	""	""	""
"Q"	"1"	"Apa yang termasuk ciri lingkungan kerja yang sehat?
&nbsp;"	""	"S"	"1"	"1"	"0"	"0"	"0"	"0"
"A"	"1"	"Mengabaikan komunikasi"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"Beban kerja tidak seimbang"	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"Adanya kerja sama tim"	""	"1"	"3"	""	""	""	""	""
"A"	"1"	"Atasan otoriter"	""	"0"	"4"	""	""	""	""	""
"A"	"1"	"Ruang kerja kotor dan bising"	""	"0"	"5"	""	""	""	""	""
"Q"	"1"	"Mengapa transparansi dalam lingkungan kerja penting?&nbsp;"	""	"S"	"1"	"2"	"0"	"0"	"0"	"0"
"A"	"1"	"Meningkatkan rasa saling percaya"	""	"1"	"1"	""	""	""	""	""
"A"	"1"	"Membuat pekerja pasif"	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"Mengurangi akuntabilitas"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"Menghindari kritik"	""	"0"	"4"	""	""	""	""	""
"A"	"1"	"Membingungkan pegawai"	""	"0"	"5"	""	""	""	""	""
"Q"	"1"	"Faktor-faktor yang mendukung lingkungan kerja produktif adalah...
Komunikasi yang jelas&nbsp;"	""	"M"	"1"	"3"	"0"	"0"	"0"	"0"
"A"	"1"	"Komunikasi yang jelas"	""	"1"	"1"	""	""	""	""	""
"A"	"1"	"Fasilitas kerja yang memadai"	""	"1"	"2"	""	""	""	""	""
"A"	"1"	"Konflik antar rekan kerja"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"Penghargaan terhadap prestasi"	""	"1"	"4"	""	""	""	""	""
"A"	"1"	"Jam kerja berlebihan tanpa jeda"	""	"0"	"5"	""	""	""	""	""
"Q"	"1"	"Yang termasuk upaya menjaga kesehatan mental di tempat kerja adalah…&nbsp;"	""	"M"	"1"	"4"	"0"	"0"	"0"	"0"
"A"	"1"	"Menghindari semua rekan kerja"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"Menjaga keseimbangan kerja dan istirahat"	""	"1"	"2"	""	""	""	""	""
"A"	"1"	"Mendengarkan musik keras saat bekerja"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"Mengikuti program employee assistance"	""	"1"	"4"	""	""	""	""	""
"A"	"1"	"Berbicara dengan atasan saat stres meningkat"	""	"1"	"5"	""	""	""	""	""
"Q"	"1"	"Lingkungan kerja inklusif adalah lingkungan kerja yang menerima...
&nbsp;"	""	"T"	"1"	"5"	"0"	"0"	"0"	"0"
"A"	"1"	"Perbedaan"	""	"1"	"1"	""	""	""	""	""
"A"	"0"	""	""	"0"	"2"	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
